"type","group","kanji","kana","translation","pattern"
"word","L16","訳す","やくす","переводить",""
"word","L16","笑う","わらう","смеяться",""
"word","L16","","アイロンをかける","гладить",""
"word","L16","集める","あつめる","собирать",""
"word","L16","入れる","いれる","класть",""
"word","L16","乗り遅れる","のりおくれる","опоздать на (транспорт)",""
"word","L16","見せる","みせる","показывать",""
"word","L16","朝寝坊する","あさねぼうする","проспать",""
"word","L16","案内する","あんないする","проводить экскурсию",""
"word","L16","説明する","せつめいする","объяснять",""
"word","L16","迎えに来る","むかえにくる","прийти встречать",""
"word","L16","","ええと","ну...; подождите...",""
"word","L16","今日中に","きょうじゅうに","до конца сегодняшнего дня",""
"word","L16","この間","このあいだ","на днях",""
"word","L16","","このぐらい","примерно столько",""
"word","L16","","ごめん","Извини. (неформ.)",""
"word","L16","","これから","с этого момента",""
"word","L16","失礼します","しつれいします","Извините.",""
"word","L16","自分で","じぶんで","самостоятельно",""
"word","L16","授業中に","じゅぎょうちゅうに","на уроке",""
"word","L16","","ほかの","другой",""
"word","L17","お客さん","おきゃくさん","гость; клиент",""
"word","L17","男","おとこ","мужчина",""
"word","L17","お湯","おゆ","горячая вода",""
"word","L17","女","おんな","женщина",""
"word","L17","","かぎ","замок; ключ",""
"word","L17","火事","かじ","пожар",""
"word","L17","紙","かみ","бумага",""
"word","L17","給料","きゅうりょう","зарплата",""
"word","L17","","コンタクト","контактные линзы",""
"word","L17","最低","さいてい","самый низкий; ужасный",""
"word","L17","","サラリーマン","офисный работник",""
"word","L17","残業","ざんぎょう","сверхурочная работа",""
"word","L17","首相","しゅしょう","премьер-министр",""
"word","L17","","ショッピングモール","торговый центр",""
"word","L17","","スプーン","ложка",""
"word","L17","宝くじ","たからくじ","лотерея",""
"word","L17","違い","ちがい","разница",""
"word","L17","動物園","どうぶつえん","зоопарк",""
"word","L17","","ニュース","новости",""
"word","L17","","パンダ","панда",""
"word","L17","","ヒーター","обогреватель",""
"word","L17","","ひげ","борода",""
"word","L17","秘密","ひみつ","секрет",""
"word","L17","","ブーツ","сапоги",""
"word","L17","寮","りょう","общежитие",""
"word","L17","旅行会社","りょこうがいしゃ","туристическое агентство",""
"word","L17","危ない","あぶない","опасный",""
"word","L17","","うらやましい","завистливый",""
"word","L17","少ない","すくない","мало",""
"word","L17","強い","つよい","сильный",""
"word","L17","選ぶ","えらぶ","выбирать",""
"word","L17","お湯を沸かす","おゆをわかす","кипятить воду",""
"word","L17","髪をとかす","かみをとかす","расчёсывать волосы",""
"word","L17","込む","こむ","становиться переполненным",""
"word","L17","宝くじに当たる","たからくじにあたる","выиграть в лотерею",""
"word","L17","脱ぐ","ぬぐ","снимать",""
"word","L17","","ひげをそる","бриться",""
"word","L17","","いれる","заваривать чай/кофе",""
"word","L17","生まれる","うまれる","рождаться",""
"word","L17","","かぎをかける","закрывать на замок",""
"word","L17","足りる","たりる","хватать",""
"word","L17","慣れる","なれる","привыкать",""
"word","L17","お祈りする","おいのりする","молиться",""
"word","L17","化粧する","けしょうする","краситься",""
"word","L17","就職する","しゅうしょくする","устраиваться на работу",""
"word","L17","離婚する","りこんする","разводиться",""
"word","L17","","おめでとうございます","Поздравляю!",""
"word","L17","","〜かな(あ)","интересно... (неформ.)",""
"word","L17","自分","じぶん","себя; собственный",""
"word","L17","","ずいぶん","очень; весьма",""
"word","L17","","そうか","Понятно. (неформ.)",""
"word","L17","","それに","кроме того",""
"word","L17","例えば","たとえば","например",""
"word","L17","〜に比べて","〜にくらべて","по сравнению с...",""
"word","L17","","〜によると","по словам...",""
"word","L17","前","まえ","до...",""
"word","L17","","やっぱり","всё-таки",""
"word","L18","後","あと","остаток",""
"word","L18","","エアコン","кондиционер",""
"word","L18","","カーテン","занавеска",""
"word","L18","","クッション","подушка",""
"word","L18","","シャンプー","шампунь",""
"word","L18","しょう油","しょうゆ","соевый соус",""
"word","L18","","スイッチ","выключатель",""
"word","L18","","スープ","суп",""
"word","L18","","スカート","юбка",""
"word","L18","外","そと","снаружи",""
"word","L18","","ソファ","диван",""
"word","L18","","タオル","полотенце",""
"word","L18","日記","にっき","дневник",""
"word","L18","","バナナ","банан",""
"word","L18","","ポップコーン","попкорн",""
"word","L18","虫","むし","насекомое",""
"word","L18","家賃","やちん","аренда",""
"word","L18","夕方","ゆうがた","вечер",""
"word","L18","留守番電話","るすばんでんわ","автоответчик",""
"word","L18","冷蔵庫","れいぞうこ","холодильник",""
"word","L18","","ろうそく","свеча",""
"word","L18","明るい","あかるい","яркий",""
"word","L18","気分が悪い","きぶんがわるい","плохо себя чувствовать",""
"word","L18","暗い","くらい","тёмный",""
"word","L18","恥ずかしい","はずかしい","стыдный; стесняться",""
"word","L18","開く","あく","открываться",""
"word","L18","謝る","あやまる","извиняться",""
"word","L18","押す","おす","нажимать; толкать",""
"word","L18","落とす","おとす","ронять",""
"word","L18","お湯が沸く","おゆがわく","вода закипает",""
"word","L18","転ぶ","ころぶ","падать",""
"word","L18","壊す","こわす","ломать",""
"word","L18","咲く","さく","расцветать",""
"word","L18","閉まる","しまる","закрываться",""
"word","L18","助かる","たすかる","спасаться",""
"word","L18","頼む","たのむ","просить",""
"word","L18","","つく","включаться",""
"word","L18","汚す","よごす","пачкать",""
"word","L18","落ちる","おちる","падать",""
"word","L18","片付ける","かたづける","убирать",""
"word","L18","考える","かんがえる","думать; обдумывать",""
"word","L18","消える","きえる","гаснуть; выключаться",""
"word","L18","壊れる","こわれる","ломаться",""
"word","L18","汚れる","よごれる","пачкаться",""
"word","L18","注文する","ちゅうもんする","делать заказ",""
"word","L18","今すぐ","いますぐ","сейчас же",""
"word","L18","","おかげで","благодаря...",""
"word","L18","お先に失礼します","おさきにしつれいします","Разрешите откланяться.",""
"word","L18","お疲れ様(でした)","おつかれさま(でした)","Спасибо за работу.",""
"word","L18","","〜(ん)だろう","разговорная форма ~でしょう",""
"word","L18","","どうしよう","Что нам делать?",""
"word","L18","本当に","ほんとうに","правда; действительно",""
"word","L18","","まず","прежде всего",""
"word","L18","","〜までに","к (времени/дате)",""
"word","L19","奥様","おくさま","ваша/его жена (почт.)",""
"word","L19","お子さん","おこさん","ваш/их ребёнок (почт.)",""
"word","L19","お礼","おれい","выражение признательности",""
"word","L19","敬語","けいご","вежливый язык",""
"word","L19","","こちら","сюда (почт.)",""
"word","L19","出張","しゅっちょう","командировка",""
"word","L19","種類","しゅるい","вид; тип",""
"word","L19","性格","せいかく","характер",""
"word","L19","中学生","ちゅうがくせい","учащийся средней школы",""
"word","L19","","どちら","где (почт.)",""
"word","L19","急け者","なまけもの","лентяй",""
"word","L19","悩み","なやみ","беспокойство",""
"word","L19","恥ずかしがり屋","はずかしがりや","застенчивый человек",""
"word","L19","話","はなし","разговор",""
"word","L19","部長","ぶちょう","начальник отдела",""
"word","L19","文化","ぶんか","культура",""
"word","L19","間違い","まちがい","ошибка",""
"word","L19","仲がいい","なかがいい","быть в хороших отношениях",""
"word","L19","","まじめ(な)","серьёзный; прилежный",""
"word","L19","","いらっしゃる","почтительный эквивалент: идти/приходить/быть",""
"word","L19","送る","おくる","провожать",""
"word","L19","怒る","おこる","злиться",""
"word","L19","","おっしゃる","почт. эквивалент: говорить",""
"word","L19","お休みになる","おやすみになる","почт. эквивалент: спать",""
"word","L19","決まる","きまる","быть решённым",""
"word","L19","下さる","くださる","почт. эквивалент: давать (мне)",""
"word","L19","ご覧になる","ごらんになる","почт. эквивалент: смотреть",""
"word","L19","知り合う","しりあう","познакомиться",""
"word","L19","","〜ていらっしゃる","почт. эквивалент: ~ている",""
"word","L19","","なさる","почт. эквивалент: делать",""
"word","L19","引っ越す","ひっこす","переезжать",""
"word","L19","召し上がる","めしあがる","почт. эквивалент: есть и пить",""
"word","L19","呼ぶ","よぶ","называть; приглашать",""
"word","L19","寄る","よる","заходить",""
"word","L19","遅れる","おくれる","опаздывать",""
"word","L19","","かける","садиться",""
"word","L19","晴れる","はれる","проясняться",""
"word","L19","","もてる","пользоваться успехом",""
"word","L19","遠慮する","えんりょする","воздерживаться",""
"word","L19","","ごちそうする","угощать",""
"word","L19","招待する","しょうたいする","приглашать",""
"word","L19","注意する","ちゅういする","предупреждать",""
"word","L19","話をする","はなしをする","разговаривать",""
"word","L19","一昨日","おとつい","позавчера",""
"word","L19","","それで","затем; поэтому",""
"word","L19","","なぜ","почему",""
"word","L19","本当は","ほんとうは","на самом деле",""
"word","L19","毎朝","まいあさ","каждое утро",""
"word","L19","","まだ","всё ещё",""
"word","L19","〜名様","〜めいさま","...персон",""
"word","L19","","ようこそ","Добро пожаловать.",""
"word","L19","よろしくお伝えください","よろしくおつたえください","Передайте привет...",""
"word","L20","","あちら","туда (почт.)",""
"word","L20","","アニメ","аниме",""
"word","L20","宇宙人","うちゅうじん","инопланетянин",""
"word","L20","音","おと","звук",""
"word","L20","","おにぎり","онигири",""
"word","L20","係の者","かかりのもの","наш ответственный сотрудник",""
"word","L20","角","かど","угол",""
"word","L20","空港","くうこう","аэропорт",""
"word","L20","字","じ","буква; символ",""
"word","L20","支店","してん","филиал",""
"word","L20","趣味","しゅみ","хобби",""
"word","L20","小説","しょうせつ","роман",""
"word","L20","信号","しんごう","светофор",""
"word","L20","","スニーカー","кроссовки",""
"word","L20","扇子","せんす","веер",""
"word","L20","月","つき","луна",""
"word","L20","電子辞書","でんしじしょ","электронный словарь",""
"word","L20","","ドイツ","Германия",""
"word","L20","","ハイヒール","каблуки",""
"word","L20","〜屋","〜や","...магазин",""
"word","L20","重い","おもい","тяжёлый",""
"word","L20","軽い","かるい","лёгкий",""
"word","L20","致す","いたす","сверхвежливый эквивалент: делать",""
"word","L20","頂く","いただく","сверхвежл. эквивалент: есть/пить",""
"word","L20","頂く","いただく","скромный эквивалент: получать",""
"word","L20","伺う","うかがう","скромно навещать; спрашивать",""
"word","L20","","おる","сверхвежл. эквивалент: быть",""
"word","L20","","ございます","сверхвежл. эквивалент: быть/иметься",""
"word","L20","","〜ておる","сверхвежл. эквивалент: ~ている",""
"word","L20","","〜でございます","сверхвежл. эквивалент: です",""
"word","L20","参る","まいる","сверхвежл. эквивалент: идти/приходить",""
"word","L20","曲がる","まがる","повернуть",""
"word","L20","申す","もうす","сверхвежл. эквивалент: говорить",""
"word","L20","戻る","もどる","возвращаться",""
"word","L20","聞こえる","きこえる","быть слышным",""
"word","L20","差し上げる","さしあげる","скромный эквивалент: давать",""
"word","L20","伝える","つたえる","передавать",""
"word","L20","待たせる","またせる","заставлять ждать",""
"word","L20","交換する","こうかんする","обменивать",""
"word","L20","生活する","せいかつする","вести жизнь",""
"word","L20","返品する","へんぴんする","возвращать товар",""
"word","L20","","おや？","О!",""
"word","L20","〜階","〜かい","...этаж",""
"word","L20","","かしこまりました","Как вам угодно.",""
"word","L20","","さあ","не уверен...",""
"word","L20","失礼しました","しつれいしました","Мне очень жаль.",""
"word","L20","少々","しょうしょう","одну минуту",""
"word","L20","","それでは","в таком случае...",""
"word","L20","","できれば","если возможно",""
"word","L20","誠に","まことに","действительно (очень почт.)",""
"word","L20","","また","снова",""
"word","L20","","〜みたいなX","X, например...",""
"word","L20","申し訳ありません","もうしわけありません","Приношу свои извинения.",""
"word","L20","","よろしかったら","если вы не против",""
"word","L21","赤ちゃん","あかちゃん","ребёнок",""
"word","L21","蚊","か","комар",""
"word","L21","会議","かいぎ","деловое совещание",""
"word","L21","","ガソリン","бензин",""
"word","L21","環境","かんきょう","окружающая среда",""
"word","L21","警察","けいさつ","полиция",""
"word","L21","工場","こうじょう","завод",""
"word","L21","事","こと","дела",""
"word","L21","終電","しゅうでん","последний поезд",""
"word","L21","準備","じゅんび","приготовление",""
"word","L21","","スピーチ","речь",""
"word","L21","政府","せいふ","правительство",""
"word","L21","","ちかん","сексуальный преступник",""
"word","L21","同僚","どうりょう","коллега",""
"word","L21","泥棒","どろぼう","вор",""
"word","L21","","バイト","подработка (сокр.)",""
"word","L21","犯人","はんにん","преступник",""
"word","L21","","ポスター","плакат",""
"word","L21","昔","むかし","старые времена",""
"word","L21","文句","もんく","жалоба",""
"word","L21","留守","るす","отсутствие дома",""
"word","L21","遠い","とおい","далёкий",""
"word","L21","","ひどい","ужасный",""
"word","L21","安全","あんぜん(な)","безопасный",""
"word","L21","大切","たいせつ(な)","ценный; важный",""
"word","L21","","めちゃくちゃ(な)","беспорядочный",""
"word","L21","置く","おく","класть; ставить",""
"word","L21","気が付く","きがつく","замечать",""
"word","L21","","ける","пинать",""
"word","L21","刺す","さす","кусать",""
"word","L21","触る","さわる","трогать",""
"word","L21","捕まる","つかまる","быть арестованным",""
"word","L21","包む","つつむ","оборачивать",""
"word","L21","殴る","なぐる","ударять",""
"word","L21","盗む","ぬすむ","красть",""
"word","L21","貼る","はる","клеить",""
"word","L21","踏む","ふむ","наступать",""
"word","L21","","ふる","отвергать",""
"word","L21","文句を言う","もんくをいう","жаловаться",""
"word","L21","焼く","やく","печь; жарить",""
"word","L21","","やる","давать (животным/младшим)",""
"word","L21","","いじめる","издеваться",""
"word","L21","着替える","きがえる","переодеваться",""
"word","L21","","ためる","копить деньги",""
"word","L21","続ける","つづける","продолжать",""
"word","L21","","ほめる","хвалить",""
"word","L21","間違える","まちがえる","ошибаться",""
"word","L21","見つける","みつける","находить",""
"word","L21","","ばかにする","оскорблять",""
"word","L21","","びっくりする","удивляться",""
"word","L21","昼寝をする","ひるねをする","вздремнуть",""
"word","L21","連絡する","れんらくする","связываться",""
"word","L21","〜間に","〜あいだに","пока...",""
"word","L21","","ころ","время...; когда...",""
"word","L21","少し","すこし","немного",""
"word","L21","","とにかく","так или иначе",""
"word","L22","相手","あいて","партнёр",""
"word","L22","受付","うけつけ","ресепшн",""
"word","L22","英会話","えいかいわ","разговорный английский",""
"word","L22","お嬢さん","おじょうさん","чья-то дочь (почт.)",""
"word","L22","家事","かじ","домашние дела",""
"word","L22","風","かぜ","ветер",""
"word","L22","神様","かみさま","Бог",""
"word","L22","木","き","дерево",""
"word","L22","後輩","こうはい","младший в группе",""
"word","L22","猿","さる","обезьяна",""
"word","L22","自由","じゆう","свобода",""
"word","L22","塾","じゅく","подготовительные курсы",""
"word","L22","書類","しょるい","документ",""
"word","L22","先輩","せんぱい","старший в группе",""
"word","L22","一人暮らし","ひとりぐらし","жизнь в одиночку",""
"word","L22","部下","ぶか","подчинённый",""
"word","L22","復習","ふくしゅう","повторение урока",""
"word","L22","","プロジェクト","проект",""
"word","L22","","ボール","мяч",""
"word","L22","無駄遣い","むだづかい","расточительство",""
"word","L22","免許","めんきょ","лицензия; права",""
"word","L22","","ヨーロッパ","Европа",""
"word","L22","予習","よしゅう","подготовка к уроку",""
"word","L22","","うるさい","шумный; раздражающий",""
"word","L22","心配","しんぱい(な)","беспокоящийся",""
"word","L22","貧乏","びんぼう(な)","бедный",""
"word","L22","","ぺらぺら(な)","беглый (язык)",""
"word","L22","変","へん(な)","странный",""
"word","L22","楽","らく(な)","лёгкий; удобный",""
"word","L22","風が吹く","かぜがふく","дует ветер",""
"word","L22","勝つ","かつ","побеждать",""
"word","L22","コピーを取る","コピーをとる","делать ксерокопию",""
"word","L22","運ぶ","はこぶ","нести; перевозить",""
"word","L22","走る","はしる","бежать",""
"word","L22","拾う","ひろう","поднимать",""
"word","L22","放っておく","ほ(う)っておく","оставлять в покое",""
"word","L22","間に合う","まにあう","успеть",""
"word","L22","計画を立てる","けいかくをたてる","составлять план",""
"word","L22","育てる","そだてる","воспитывать",""
"word","L22","助ける","たすける","помогать; спасать",""
"word","L22","負ける","まける","проигрывать",""
"word","L22","お願いする","おねがいする","просить о помощи",""
"word","L22","賛成する","さんせいする","соглашаться",""
"word","L22","失敗する","しっぱいする","терпеть неудачу",""
"word","L22","徹夜する","てつやする","не спать всю ночь",""
"word","L22","反対する","はんたいする","возражать",""
"word","L22","翻訳する","ほんやくする","переводить",""
"word","L22","","こんなふう","вот так",""
"word","L22","自由に","じゆうに","свободно",""
"word","L22","","ずっと","долго; всё время",""
"word","L22","絶対に","ぜったいに","определённо",""
"word","L22","","そんなこと(は)ない","Я так не думаю.",""
"word","L22","","〜とか","например...",""
"word","L22","何度も","なんども","много раз",""
"word","L22","もう少し","もうすこし","ещё немного",""
"word","L23","思い出","おもいで","воспоминание",""
"word","L23","海外旅行","かいがいりょこう","поездка за рубеж",""
"word","L23","体","からだ","тело",""
"word","L23","靴下","くつした","носки",""
"word","L23","国際電話","こくさいでんわ","международный звонок",""
"word","L23","社会","しゃかい","общество",""
"word","L23","授業料","じゅぎょうりょう","плата за обучение",""
"word","L23","小学校","しょうがっこう","начальная школа",""
"word","L23","選挙","せんきょ","выборы",""
"word","L23","","ソフト","программное обеспечение",""
"word","L23","","タイヤ","шина",""
"word","L23","","ただ","бесплатно",""
"word","L23","場所","ばしょ","место",""
"word","L23","別荘","べっそう","загородный дом",""
"word","L23","","ボーナス","бонус",""
"word","L23","盆踊り","ぼんおどり","танец Бон",""
"word","L23","面接","めんせつ","собеседование",""
"word","L23","夕食","ゆうしょく","ужин",""
"word","L23","理想","りそう","идеал",""
"word","L23","留守番","るすばん","присмотр за домом",""
"word","L23","","まずい","невкусный",""
"word","L23","雨がやむ","あめがやむ","дождь прекращается",""
"word","L23","","いなくなる","исчезать",""
"word","L23","お世話になる","おせわになる","быть на чьём-то попечении",""
"word","L23","","おなかをこわす","расстроить желудок",""
"word","L23","気に入る","きにいる","прийтись по вкусу",""
"word","L23","違う","ちがう","отличаться; неправильный",""
"word","L23","","なくなる","пропасть",""
"word","L23","悪口を言う","わるぐちをいう","говорить за спиной",""
"word","L23","受ける","うける","проходить (экзамен)",""
"word","L23","換える","かえる","менять",""
"word","L23","答える","こたえる","отвечать",""
"word","L23","離れる","はなれる","разлучаться",""
"word","L23","〜顔をする","〜かおをする","иметь такое выражение лица",""
"word","L23","","がっかりする","разочаровываться",""
"word","L23","我慢する","がまんする","терпеть",""
"word","L23","世話をする","せわをする","заботиться о...",""
"word","L23","同情する","どうじょうする","сочувствовать",""
"word","L23","","パンクする","прокол (шина)",""
"word","L23","戻ってくる","もどってくる","возвращаться",""
"word","L23","優勝する","ゆうしょうする","победить в чемпионате",""
"word","L23","","いや","нет (неформ.)",""
"word","L23","元気でね","げんきでね","Береги себя.",""
"word","L23","最後に","さいごに","наконец",""
"word","L23","","そうそう","Именно так.",""
"word","L23","","そろそろ","пора...",""
"word","L23","","そんな〜","такой...",""
"word","L23","","ものすごく","чрезвычайно",""
"kanji","L13","守","","",""
"kanji","L13","申","","",""
"kanji","L13","広","","",""
"kanji","L13","集","","",""
"kanji","L13","束","","",""
"kanji","L13","近","","",""
"kanji","L13","宅","","",""
"kanji","L13","器","","",""
"kanji","L13","告","","",""
"kanji","L13","紅","","",""
"kanji","L13","象","","",""
"kanji","L13","価","","",""
"kanji","L13","法","","",""
"kanji","L13","募","","",""
"kanji","L13","悲","","",""
"kanji","L13","辛","","",""
"kanji","L13","厳","","",""
"kanji","L13","幸","","",""
"kanji","L13","編","","",""
"kanji","L13","貸","","",""
"kanji","L13","頑","","",""
"kanji","L13","泣","","",""
"kanji","L13","磨","","",""
"kanji","L13","感","","",""
"kanji","L13","回","","",""
"kanji","L13","実","","",""
"kanji","L14","相","","",""
"kanji","L14","同","","",""
"kanji","L14","奥","","",""
"kanji","L14","送","","",""
"kanji","L14","台","","",""
"kanji","L14","皿","","",""
"kanji","L14","漫","","",""
"kanji","L14","皆","","",""
"kanji","L14","指","","",""
"kanji","L14","輪","","",""
"kanji","L14","両","","",""
"kanji","L14","履","","",""
"kanji","L14","欲","","",""
"kanji","L14","似","","",""
"kanji","L14","談","","",""
"kanji","L14","君","","",""
"kanji","L14","個","","",""
"kanji","L14","冊","","",""
